T,P
0.229954921,0.000122586
0.233622927,0.000145208
0.237272755,0.000175274
0.239982292,0.000203344
0.244132636,0.000244567
0.247679908,0.000289378
0.251364241,0.000342357
0.255779668,0.000406189
0.260054199,0.000484011
0.264106143,0.000575553
0.267989246,0.000680989
0.272086864,0.000805649
0.27692797,0.00098348
0.282336104,0.001208787
0.288227295,0.001480565
0.291867619,0.001751058
0.2973398,0.002027483
0.301668976,0.002381943
0.306470667,0.002822226
0.312844283,0.00337236
0.317282218,0.003991939
0.32288761,0.004676868
0.329637136,0.005704017
0.335458589,0.006666607
0.340568829,0.007852505
0.347050367,0.009288419
0.35410939,0.010902182
0.36121433,0.012982164
0.367241968,0.015333173
0.374820098,0.018402694
0.382540073,0.021782214
0.389819023,0.025732402
0.397222578,0.030012754
0.404778074,0.035364995
0.413114044,0.041821306
0.422264756,0.049299526
0.431624634,0.058434277
0.441191982,0.069261614
0.450967342,0.08182569
0.460957908,0.096563009
0.471161324,0.113207753
0.481606482,0.134331251
0.492272864,0.158178066
0.503960447,0.188039801
0.515915459,0.221952272
0.528955793,0.260459593
0.542340374,0.308677315
0.555196682,0.362156909
0.569238855,0.427441121
0.584538492,0.506721136
0.601181189,0.604773773
0.617335932,0.715494788
0.632928154,0.834011449
0.650938025,0.989516729
0.670479558,1.169091689
0.689525699,1.363570036
0.709131074,1.60538198
0.730428233,1.899796888
0.753483718,2.221949111
0.77728247,2.610718549
0.801839639,3.076937504
0.828457297,3.651792562
0.857271858,4.334650638
0.887064915,5.095206327
0.917895132,5.993387125
0.949789612,7.030259636
0.982794218,8.252267143
1.016947655,9.693443274
1.052273913,11.3308556
1.088839786,13.30039746
1.126652647,15.49297603
1.165776436,18.03442079
1.206245012,20.90510079
1.248104115,24.13154069
1.291403489,27.75897548
1.33620246,31.90942187
1.382563429,36.75725569
1.43052202,42.22364304
1.480118783,48.19948522
1.531458469,55.32891344
1.584554738,63.1595228
1.639504393,72.29979404
1.696330469,82.24497192
1.755152966,94.08160037
1.816004812,107.3968132
1.878923382,121.5747902
1.943999613,137.0497918
2.011364297,155.4673354
2.081047457,175.8686413
2.15315299,199.2248106
2.227752632,225.5254491
2.304928107,254.9423175
2.384758947,287.3933937
2.467368844,324.6536377
2.552791689,364.1958244
2.641227411,411.7004438
2.732700711,463.7813776
2.827244866,515.9331463
2.925115824,577.9660894
3.02635746,646.104382
3.131211114,723.7883237
3.24150532,811.468829
3.351641006,907.0342108
3.456913887,1001.457869
