T(K),P(mbar)
0.567585433,0.000167227
0.575852487,0.000203092
0.584658496,0.000243217
0.592355822,0.000289521
0.600150218,0.00034745
0.609535458,0.000417227
0.618302237,0.000498209
0.626999132,0.00060105
0.634396726,0.000706011
0.643162212,0.000843589
0.652526716,0.001008998
0.66112616,0.001206812
0.670751751,0.001443073
0.682169617,0.001751329
0.693171178,0.002102988
0.703386372,0.002518966
0.715195033,0.003076567
0.728074298,0.003788241
0.739212412,0.004607617
0.751510946,0.005514433
0.764541361,0.006620642
0.773863978,0.007815353
0.789225288,0.009369092
0.799881848,0.011219533
0.815293607,0.013451622
0.828865561,0.016153256
0.843221594,0.019262722
0.857157335,0.022920507
0.874039398,0.027994924
0.887756355,0.033113256
0.901892531,0.039324382
0.9189942,0.047221746
0.935936984,0.057357586
0.95674157,0.069526928
0.974612139,0.083353657
0.992033107,0.09909382
1.013457133,0.11986072
1.030581578,0.14035709
1.046574873,0.165754455
1.067945912,0.199520776
1.08583188,0.231418356
1.107464411,0.271930778
1.129592831,0.330215591
1.148279352,0.385397291
1.170136933,0.456454547
1.195634867,0.544187593
1.21888103,0.64843661
1.242060789,0.76309745
1.267628295,0.899448128
1.295757505,1.075495739
1.324467218,1.270590961
1.354869131,1.508445008
1.38172359,1.789358325
1.414567296,2.148542391
1.445900769,2.532731108
1.480237786,3.017067455
1.517724124,3.602152308
1.555776111,4.300410538
1.590598009,5.032048092
1.630819252,5.929849858
1.672127772,7.092309138
1.71464636,8.451460927
1.755099848,9.902136431
1.793938649,11.58356871
1.83929653,13.63136888
1.891704909,16.39787722
1.942495699,19.24556437
2.00827634,22.80931877
2.064090313,27.11816541
2.126097149,32.26972839
2.189935045,38.19751889
2.252138714,44.51371523
2.3233144,52.64862793
2.404158271,62.84317248
2.483897336,73.83355164
2.562351132,86.7520421
2.647333971,101.8811028
2.739311518,119.3402409
2.834316986,136.80151
2.932734997,159.1312082
3.034553073,184.7188381
3.13984612,212.9306658
3.248805031,245.7938413
3.36160919,285.7147001
3.478283637,330.5019388
3.598959528,380.4479732
3.723815053,437.6366224
3.852980019,502.3696558
3.986435013,566.7103326
4.12457544,642.8681444
4.267551664,732.3184288
4.415441947,831.3111752
4.547020538,908.1260555
